farm_id,day,age_days,house_size_birds,temperature_c,humidity_pct,ammonia_ppm,feed_kg_per_1000birds,water_L_per_1000birds,chicks_died
Farm_A,1,1,13084,31.98,54.9,8.7,12.9,30.2,3
Farm_A,2,2,12059,32.54,58.8,6.9,11.1,33.1,3
Farm_A,3,3,11531,31.76,61.2,11.9,14.1,29.2,2
Farm_A,4,4,11650,30.2,55.8,9.3,19.9,47.4,3
Farm_A,5,5,11017,30.93,62.8,8.5,20.6,50.0,3
Farm_A,6,6,12313,31.85,56.1,10.6,17.0,37.0,2
Farm_A,7,7,11276,29.72,58.1,10.8,26.2,49.5,0
Farm_A,8,8,12683,30.22,61.1,10.8,25.5,57.3,2
Farm_A,9,9,12192,29.05,59.0,7.4,33.0,68.2,0
Farm_A,10,10,10832,29.53,63.9,9.9,32.6,70.6,0
Farm_A,11,11,13222,27.46,56.7,11.3,33.6,67.4,3
Farm_A,12,12,12373,27.51,59.9,12.5,33.5,72.2,0
Farm_A,13,13,13464,26.7,62.0,10.2,41.8,85.2,1
Farm_A,14,14,13353,27.97,62.9,14.3,46.0,98.7,1
Farm_A,15,15,11006,26.56,60.4,9.2,47.8,95.6,2
Farm_A,16,16,12396,29.11,75.5,13.1,45.3,84.9,1
Farm_A,17,17,11354,26.22,62.0,14.8,51.1,101.9,0
Farm_A,18,18,11783,26.02,62.6,16.6,53.5,112.9,0
Farm_A,19,19,11460,25.23,59.8,17.6,53.0,109.0,1
Farm_A,20,20,11202,25.7,63.2,12.4,59.2,114.8,5
Farm_A,21,21,13411,26.81,64.6,13.3,63.6,132.3,0
Farm_A,22,22,11876,24.0,57.7,17.8,67.8,127.8,2
Farm_A,23,23,13308,24.0,67.0,23.0,60.0,116.1,0
Farm_A,24,24,11480,25.19,55.1,15.1,64.9,119.9,3
Farm_A,25,25,11035,25.3,60.7,17.4,70.6,137.2,2
Farm_A,26,26,11274,24.83,64.3,19.2,71.9,140.2,3
Farm_A,27,27,10471,23.98,62.0,16.9,75.4,144.3,2
Farm_A,28,28,11757,24.03,63.6,19.8,79.0,151.6,4
Farm_A,29,29,10939,23.21,64.0,20.9,81.1,161.4,6
Farm_A,30,30,10566,22.92,64.5,20.4,84.9,169.0,5
Farm_A,31,31,12163,21.75,63.7,18.6,89.3,180.6,3
Farm_A,32,32,11065,20.95,67.6,21.6,92.8,187.7,4
Farm_A,33,33,12324,21.8,68.6,22.6,96.0,198.8,4
Farm_A,34,34,11974,21.32,71.4,18.4,98.1,197.6,4
Farm_A,35,35,12071,20.94,70.3,21.4,101.2,207.8,3
Farm_A,36,36,12370,20.5,68.6,22.2,104.6,212.4,4
Farm_A,37,37,10985,20.5,69.9,22.7,106.8,214.1,4
Farm_A,38,38,12546,20.5,70.0,22.9,109.9,222.7,4
Farm_A,39,39,11079,20.5,71.0,23.7,112.2,226.6,4
Farm_A,40,40,11901,20.5,72.1,23.8,114.7,235.9,4
Farm_A,41,41,12342,20.5,72.4,24.7,116.7,245.1,4
Farm_A,42,42,11889,20.5,72.8,25.6,119.5,249.7,4
Farm_A,43,43,11828,20.5,72.5,26.8,121.6,257.7,4
Farm_A,44,44,12147,20.5,73.0,27.6,124.2,266.7,10
Farm_A,45,45,12016,20.5,73.9,28.2,126.1,270.7,4
Farm_A,46,46,11571,20.5,74.7,29.1,128.8,278.1,4
Farm_A,47,47,11444,20.5,75.5,30.0,130.9,284.0,4
Farm_A,48,48,11819,20.5,75.8,31.5,133.7,292.8,4
Farm_A,49,49,11332,20.5,76.6,31.8,135.4,300.6,4
